participant_id,trial_index,global_field_power,delta_power,theta_power,alpha_power,beta_power
sub-02,70,12.424896015254044,1.5196269884280691e-12,2.185938202328777e-13,1.9390256531257943e-13,7.486758859478555e-14
sub-02,71,13.367332204950882,1.8336769929572322e-11,9.850678247707806e-13,1.4569530772248715e-13,1.234802925566031e-13
sub-02,72,11.918186059611685,8.91495796951842e-13,2.4095407997438564e-13,9.862036913804078e-14,5.133911280129854e-14
sub-02,73,10.909729476400997,9.932180124681392e-13,5.16708849893059e-13,1.694018878983326e-13,7.364613079996243e-14
sub-02,74,9.922292193080745,4.716813937467628e-13,3.6328782722429646e-13,2.517967608414074e-13,6.859278073761916e-14
sub-03,0,34.7894163425429,2.3313283923829265e-12,4.812078753524858e-13,5.668180974292094e-13,2.288797944299366e-13
sub-03,1,23.958797097759117,1.3948278150346031e-12,1.7350009804152493e-12,3.2570786022919895e-12,2.7447643389334755e-13
sub-03,2,20.058030085044745,1.5466515407510421e-12,7.772816241577647e-13,8.442697259914079e-13,2.5142626054400607e-13
sub-03,3,30.435896350646534,1.535563409464902e-12,7.770272419594345e-13,5.57312908588482e-13,2.1770935508351281e-13
sub-03,4,30.43082863588638,1.9068378908966257e-12,5.270397461584803e-13,4.3197221827420837e-13,2.283943684840512e-13
sub-03,5,28.191148963995726,1.383783118574953e-12,9.916258451783021e-13,1.5016337512896746e-12,3.2617441835309466e-13
sub-03,6,20.32115791913054,9.303106181469868e-13,3.8688930492301154e-13,1.870892059965092e-12,2.358168042499725e-13
sub-03,7,17.037815119372855,1.7469485316237991e-12,5.822333538237101e-13,1.2003632096780578e-12,2.9225455951926244e-13
sub-03,8,23.68587251851663,1.1330625848310368e-12,4.124965326526686e-13,9.046962005428823e-13,1.360153211009063e-13
sub-03,9,25.577534153487928,1.4062697289287015e-12,3.751362009827368e-13,7.439597563839534e-13,2.5154416868289123e-13
sub-03,10,18.2209172008443,1.2738073414166488e-12,6.243737981375013e-13,8.090608518329023e-13,1.7226816542146243e-13
sub-03,11,23.41140451064904,1.1911721392314763e-12,5.057973596237659e-13,1.7513329399864016e-12,2.314726101512451e-13
sub-03,12,21.38096258450253,1.976582974878518e-12,4.3382485852171114e-13,1.966937920567899e-12,2.885025791191443e-13
sub-03,13,17.57324179790162,2.8646387401483184e-12,6.142348992113621e-13,6.889083933004741e-13,2.388850328249823e-13
sub-03,14,17.898129832253055,1.3915307485039205e-12,5.364201050832619e-13,6.186270952127531e-13,2.6237417680541495e-13
sub-03,15,15.733030145495698,3.659174051713342e-12,2.5831650574666974e-13,1.1721682484271036e-12,2.303694911207837e-13
sub-03,16,24.99302663745034,9.881107750434819e-13,4.809448365276107e-13,7.001285102920169e-13,1.7527444763661505e-13
sub-03,17,23.191635258923377,1.291600442551683e-12,4.91793637854632e-13,2.1707832924007483e-12,2.876968482910758e-13
sub-03,18,20.956608314558355,1.4315341413783411e-12,7.28232699399662e-13,1.798847036870465e-12,2.0594935157238086e-13
sub-03,19,19.197126238761715,5.122566858353863e-12,4.435140743894956e-13,9.988632072829544e-13,2.1654200602459172e-13
sub-03,20,25.008525510644503,1.7980861106085664e-12,6.370207986270692e-13,1.9773317089807494e-12,5.142636431671871e-13
sub-03,21,20.528835831570905,2.1167976310910154e-12,5.506817575408122e-13,1.6120080901799188e-12,1.6484250426489137e-13
sub-03,22,29.90248749979616,4.0461912249034316e-12,1.1021325463016308e-12,3.5364085332188684e-12,3.7331502584836765e-13
sub-03,23,16.798776287748137,1.992971806113422e-12,6.413812389800758e-13,2.6407181677960657e-12,2.601540222124861e-13
sub-03,24,18.5005662071268,3.1221144017117736e-12,8.731045300286136e-13,1.6006311078978078e-12,2.8020252299529335e-13
sub-03,25,16.80621479280566,1.6290857769686346e-12,8.196190310505044e-13,1.5071555010965826e-12,2.446250549968145e-13
sub-03,26,21.468092977236473,1.6568998662429556e-12,4.3201944660288383e-13,1.7029566717854896e-12,2.438344671212095e-13
sub-03,27,19.548233798079412,1.9412819038695455e-12,4.3164888282017277e-13,2.346333796904804e-12,3.082587136168619e-13
sub-03,28,19.73939022672723,1.4773154174794738e-12,1.1507008490806199e-12,5.586137515821631e-13,3.6713307275337405e-13
sub-03,29,27.22211279065277,1.926899328867616e-12,8.626842675236812e-13,1.3046863308138428e-12,2.680917073789835e-13
sub-03,30,27.182207694494444,1.0549757098585614e-12,3.257107108241083e-13,9.783215364775071e-13,2.1806748975784735e-13
sub-03,31,25.291278475263976,2.2927196514579343e-12,6.091775354562467e-13,5.206391039589873e-13,2.6487523897708437e-13
sub-03,32,19.985594274998842,1.6044466868573247e-12,3.8948908991895714e-13,1.3629658818756065e-12,2.17421551834084e-13
sub-03,33,25.597685808298124,1.2518512371606155e-12,1.2491143408558316e-12,4.684409086325266e-12,3.1082819452593405e-13
sub-03,34,21.266640094959424,1.1686626764876683e-12,5.908128263787653e-13,2.229357298053988e-12,2.442628690334686e-13
sub-03,35,26.558692889021515,1.1966317410013436e-12,4.636535610031213e-13,1.1309220137278532e-12,1.9619185474565453e-13
